2026-03-30 13:56:55 | INFO     | src.events.aggregator | Joining aggregated feature max_temp_24h back to reference table
2026-03-30 13:56:56 | INFO     | src.events.aggregator | Feature max_temp_24h aggregated and joined. Current reference table now has 2532253 rows and 3 columns.
2026-03-30 13:56:56 | INFO     | src.events.aggregator | --------------------------------------------------------------------------------
2026-03-30 13:56:56 | INFO     | src.events.aggregator | Aggregating feature min_temp_24h using min over last 1440.0 minutes for events in Temperature
2026-03-30 13:56:57 | INFO     | src.events.aggregator | Joining aggregated feature min_temp_24h back to reference table
2026-03-30 13:56:57 | INFO     | src.events.aggregator | Feature min_temp_24h aggregated and joined. Current reference table now has 2532253 rows and 4 columns.
2026-03-30 13:56:57 | INFO     | src.events.aggregator | --------------------------------------------------------------------------------
2026-03-30 13:56:57 | INFO     | src.events.aggregator | Aggregating feature max_pulse_24h using max over last 1440.0 minutes for events in Pulse
2026-03-30 13:57:06 | INFO     | src.events.aggregator | Joining aggregated feature max_pulse_24h back to reference table
2026-03-30 13:57:06 | INFO     | src.events.aggregator | Feature max_pulse_24h aggregated and joined. Current reference table now has 2532253 rows and 5 columns.
2026-03-30 13:57:06 | INFO     | src.events.aggregator | --------------------------------------------------------------------------------
2026-03-30 13:57:06 | INFO     | src.events.aggregator | Aggregating feature max_resp_24h using max over last 1440.0 minutes for events in Respirations
2026-03-30 13:57:14 | INFO     | src.events.aggregator | Joining aggregated feature max_resp_24h back to reference table
2026-03-30 13:57:14 | INFO     | src.events.aggregator | Feature max_resp_24h aggregated and joined. Current reference table now has 2532253 rows and 6 columns.
2026-03-30 13:57:14 | INFO     | src.events.aggregator | --------------------------------------------------------------------------------
2026-03-30 13:57:14 | INFO     | src.events.aggregator | Aggregating feature max_sbp_15m using max over last 15.0 minutes for events in Systolic Blood Pressure
2026-03-30 13:57:47 | INFO     | __main__ | Starting pipeline
2026-03-30 13:57:47 | INFO     | src.dataloader | Loading data from ../Sepsis-data/data/raw_data_phase2_v2
2026-03-30 13:57:48 | INFO     | src.dataloader | Data loaded. Shapes: lab_res=(1348752, 8), flowsheets=(6643434, 8), med_admin=(269121, 8), procedures=(125403, 8), baseline=(3979, 31), diagnosis=(441520, 8)
2026-03-30 13:57:48 | INFO     | src.dataloader | --------------------------------------------------------------------------------
2026-03-30 13:57:48 | INFO     | src.dataloader | Data type casting completed.
